short_form	matched_cl_id
Motor Neurons	CL:0000100
Motor Neuron	CL:0000100
CNS neurons	CL:0000117
Primary cell	CL:0000001
Purkinje neuron	CL:0000121
Photoreceptor cells	CL:0000210
Photoreceptors	CL:0000210
Photoreceptor	CL:0000210
Müller cells	CL:0000636
photoreceptors R1	CL:0000687
photoreceptors R1–R6	CL:0000705
R1–R6 photoreceptors	CL:0000687
R6 photoreceptors	CL:0000705
ES Cell	CL:0002322
ES-cells	CL:0002322
Purkinje-cells	CL:0000121
Purkinje-cell	CL:0000121
Pyramidal neurons	CL:0000598
astroglial (C6) cell	CL:0000127
Cultured cells	CL:0000010
DRG sensory neurons	CL:1001451
Purkinje cell	CL:0000121
Schwann-cell	CL:0002573
Primary Schwann cell	CL:0000001
TRCs	CL:0000209
Myotubules	CL:0002372
Hepatocyte	CL:0000182
endoderm (AVE) cells	CL:0000223
PCGs	CL:0000670
Primitive germ cells	CL:0000670
Rods	CL:0000604
Müller Glial	CL:0000636
Müller glia	CL:0000636
Müller glial	CL:0000636
BP	CL:0000103
Cones	CL:0000573
Photoreceptor Cell	CL:0000210
Rod Photoreceptor	CL:0000604
kidney (MDCK) cell	CL:1000497
GC	CL:0000120
Stromal Cells	CL:0000499
Marrow stromal cells	CL:0010001
Embryonic Cell	CL:0002321
primary ES cell	CL:0000001
Rod photoreceptor	CL:0000604
ES Cells	CL:0002322
TGCs	CL:0002488
TGC	CL:0002488
secondary TGCs	CL:0002498
primary TGCs	CL:0002497
Sertoli cell	CL:0000216
Sertoli	CL:0000216
Somatic cells	CL:0000000
Primary gonadal cell	CL:0000001
Blood cells	CL:0000081
Sertoli Cell	CL:0000216
basal ORS cells	CL:0000646
ORS cells	CL:0002561
TECs of cortex	CL:0002364
medullary TEC	CL:0002365
cortical TECs	CL:0002364
medullary TECs	CL:0002365
GC	CL:0000740
Primary cells	CL:0000001
Embryonic Cells	CL:0002321
